Tournament,Matchday,Date,Venue,Club,Opponent,Result,Position,Minute,When Scored,Goal Type,Assist
UEFA Champions League ,Gruppenphase,11/22/17,Away,Bayern Munich,RSC Anderlecht,1:2,CF,51',0:1,Right-footed shot,Corentin Tolisso
Bundesliga ,14,12/2/17,Home,Bayern Munich,Hannover 96,3:1,CF,87',3:1,Penalty,Not Applicable
UEFA Champions League ,Gruppenphase,12/5/17,Home,Bayern Munich,Paris Saint-Germain,3:1,CF,8',1:0,Left-footed shot,Kingsley Coman
Bundesliga ,16,12/13/17,Home,Bayern Munich,1.FC Köln,1:0,CF,60',1:0,Left-footed shot,Thomas Müller
Bundesliga ,19,1/21/18,Home,Bayern Munich,SV Werder Bremen,4:2,CF,63',2:1,Header,James Rodríguez
Bundesliga ,19,1/21/18,Home,Bayern Munich,SV Werder Bremen,4:2,CF,76',3:2,Header,Thomas Müller
Bundesliga ,20,1/27/18,Home,Bayern Munich,TSG 1899 Hoffenheim,5:2,CF,20',1:2,Left-footed shot,Joshua Kimmich
DFB-Pokal ,Viertelfinale,2/6/18,Away,Bayern Munich,SC Paderborn 07,0:6,CF,25',0:2,Right-footed shot,Kingsley Coman
Bundesliga ,22,2/10/18,Home,Bayern Munich,FC Schalke 04,2:1,CF,6',1:0,Right-footed shot,Thomas Müller
Bundesliga ,23,2/17/18,Away,Bayern Munich,VfL Wolfsburg,1:2,CF,90'+1,1:2,Penalty,Not Applicable
UEFA Champions League ,Achtelfinale,2/20/18,Home,Bayern Munich,Besiktas JK,5:0,CF,79',4:0,Left-footed shot,Mats Hummels
UEFA Champions League ,Achtelfinale,2/20/18,Home,Bayern Munich,Besiktas JK,5:0,CF,88',5:0,Left-footed shot,Thomas Müller
Bundesliga ,26,3/10/18,Home,Bayern Munich,Hamburger SV,6:0,CF,12',2:0,Header,Joshua Kimmich
Bundesliga ,26,3/10/18,Home,Bayern Munich,Hamburger SV,6:0,CF,19',3:0,Right-footed shot,David Alaba
Bundesliga ,26,3/10/18,Home,Bayern Munich,Hamburger SV,6:0,CF,90',6:0,Penalty,Not Applicable
Bundesliga ,28,3/31/18,Home,Bayern Munich,Borussia Dortmund,6:0,CF,5',1:0,Right-footed shot,Thomas Müller
Bundesliga ,28,3/31/18,Home,Bayern Munich,Borussia Dortmund,6:0,CF,44',4:0,Right-footed shot,Franck Ribéry
Bundesliga ,28,3/31/18,Home,Bayern Munich,Borussia Dortmund,6:0,CF,87',6:0,Right-footed shot,Joshua Kimmich
Bundesliga ,30,4/14/18,Home,Bayern Munich,Borussia Mönchengladbach,5:1,CF,82',5:1,Right-footed shot,Not Applicable
DFB-Pokal ,Halbfinale,4/17/18,Away,Bayern Munich,Bayer 04 Leverkusen,2:6,CF,3',0:1,Left-footed shot,Javi Martínez
DFB-Pokal ,Halbfinale,4/17/18,Away,Bayern Munich,Bayer 04 Leverkusen,2:6,CF,9',0:2,Right-footed shot,Franck Ribéry
Bundesliga ,31,4/21/18,Away,Bayern Munich,Hannover 96,0:3,CF,73',0:2,Header,Sebastian Rudy
Bundesliga ,33,5/5/18,Away,Bayern Munich,1.FC Köln,1:3,CF,61',1:2,Right-footed shot,Thomas Müller
DFB-Pokal ,Finale,5/19/18,Home,Bayern Munich,Eintracht Frankfurt,1:3,CF,53',1:1,Left-footed shot,Joshua Kimmich
DFL-Supercup ,Finale,8/12/18,Away,Bayern Munich,Eintracht Frankfurt,0:5,CF,21',0:1,Header,Joshua Kimmich
DFL-Supercup ,Finale,8/12/18,Away,Bayern Munich,Eintracht Frankfurt,0:5,CF,26',0:2,Header,Arjen Robben
DFL-Supercup ,Finale,8/12/18,Away,Bayern Munich,Eintracht Frankfurt,0:5,CF,54',0:3,Left-footed shot,Thomas Müller
DFB-Pokal ,1.Runde,8/18/18,Away,Bayern Munich,SV Drochtersen/Assel,0:1,CF,81',0:1,Left-footed shot,Leon Goretzka
Bundesliga ,1,8/24/18,Home,Bayern Munich,TSG 1899 Hoffenheim,3:1,CF,82',2:1,Penalty,Not Applicable
Bundesliga ,2,9/1/18,Away,Bayern Munich,VfB Stuttgart,0:3,CF,62',0:2,Left-footed shot,Leon Goretzka
UEFA Champions League ,Gruppenphase,9/19/18,Away,Bayern Munich,SL Benfica,0:2,CF,10',0:1,Right-footed shot,David Alaba
Bundesliga ,4,9/22/18,Away,Bayern Munich,FC Schalke 04,0:2,CF,64',0:2,Penalty,Not Applicable
Bundesliga ,8,10/20/18,Away,Bayern Munich,VfL Wolfsburg,1:3,CF,30',0:1,Right-footed shot,Mats Hummels
Bundesliga ,8,10/20/18,Away,Bayern Munich,VfL Wolfsburg,1:3,CF,49',0:2,Right-footed shot,Not Applicable
UEFA Champions League ,Gruppenphase,10/23/18,Away,Bayern Munich,AEK Athens,0:2,CF,63',0:2,Right-footed shot,Rafinha
UEFA Champions League ,Gruppenphase,11/7/18,Home,Bayern Munich,AEK Athens,2:0,CF,31',1:0,Penalty,Not Applicable
UEFA Champions League ,Gruppenphase,11/7/18,Home,Bayern Munich,AEK Athens,2:0,CF,71',2:0,Right-footed shot,Not Applicable
Bundesliga ,11,11/10/18,Away,Bayern Munich,Borussia Dortmund,3:2,CF,26',0:1,Header,Serge Gnabry
Bundesliga ,11,11/10/18,Away,Bayern Munich,Borussia Dortmund,3:2,CF,52',1:2,Header,Joshua Kimmich
UEFA Champions League ,Gruppenphase,11/27/18,Home,Bayern Munich,SL Benfica,5:1,CF,36',3:0,Header,Joshua Kimmich
UEFA Champions League ,Gruppenphase,11/27/18,Home,Bayern Munich,SL Benfica,5:1,CF,51',4:1,Header,Joshua Kimmich
Bundesliga ,14,12/8/18,Home,Bayern Munich,1.FC Nuremberg,3:0,CF,9',1:0,Header,Joshua Kimmich
Bundesliga ,14,12/8/18,Home,Bayern Munich,1.FC Nuremberg,3:0,CF,27',2:0,Right-footed shot,Leon Goretzka
UEFA Champions League ,Gruppenphase,12/12/18,Away,Bayern Munich,Ajax Amsterdam,3:3,CF,13',0:1,Right-footed shot,Serge Gnabry
UEFA Champions League ,Gruppenphase,12/12/18,Away,Bayern Munich,Ajax Amsterdam,3:3,CF,87',2:2,Penalty,Not Applicable
Bundesliga ,15,12/15/18,Away,Bayern Munich,Hannover 96,0:4,CF,62',0:4,Header,Joshua Kimmich
Bundesliga ,18,1/18/19,Away,Bayern Munich,TSG 1899 Hoffenheim,1:3,CF,87',1:3,Left-footed shot,Thomas Müller
Bundesliga ,19,1/27/19,Home,Bayern Munich,VfB Stuttgart,4:1,CF,85',4:1,Right-footed shot,Joshua Kimmich
Bundesliga ,21,2/9/19,Home,Bayern Munich,FC Schalke 04,3:1,CF,27',2:1,Right-footed shot,James Rodríguez
Bundesliga ,24,3/2/19,Away,Bayern Munich,Borussia Mönchengladbach,1:5,CF,47',1:3,Right-footed shot,Thiago Alcántara
Bundesliga ,24,3/2/19,Away,Bayern Munich,Borussia Mönchengladbach,1:5,CF,90'+1,1:5,Penalty,Not Applicable
Bundesliga ,25,3/9/19,Home,Bayern Munich,VfL Wolfsburg,6:0,CF,37',2:0,Right-footed shot,Serge Gnabry
Bundesliga ,25,3/9/19,Home,Bayern Munich,VfL Wolfsburg,6:0,CF,85',6:0,Header,Franck Ribéry
Bundesliga ,26,3/17/19,Home,Bayern Munich,1.FSV Mainz 05,6:0,CF,3',1:0,Right-footed shot,David Alaba
Bundesliga ,27,3/30/19,Away,Bayern Munich,SC Freiburg,1:1,CF,22',1:1,Left-footed shot,Leon Goretzka
DFB-Pokal ,Viertelfinale,4/3/19,Home,Bayern Munich,1.FC Heidenheim 1846,5:4,CF,56',3:2,Right-footed shot,Thomas Müller
DFB-Pokal ,Viertelfinale,4/3/19,Home,Bayern Munich,1.FC Heidenheim 1846,5:4,CF,84',5:4,Penalty,Not Applicable
Bundesliga ,28,4/6/19,Home,Bayern Munich,Borussia Dortmund,5:0,CF,17',2:0,Right-footed shot,Not Applicable
Bundesliga ,28,4/6/19,Home,Bayern Munich,Borussia Dortmund,5:0,CF,89',5:0,Right-footed shot,Serge Gnabry
DFB-Pokal ,Halbfinale,4/24/19,Away,Bayern Munich,SV Werder Bremen,2:3,CF,36',0:1,Right-footed shot,Thomas Müller
DFB-Pokal ,Halbfinale,4/24/19,Away,Bayern Munich,SV Werder Bremen,2:3,CF,80',2:3,Penalty,Not Applicable
Bundesliga ,32,5/4/19,Home,Bayern Munich,Hannover 96,3:1,CF,27',1:0,Header,Joshua Kimmich
DFB-Pokal ,Finale,5/25/19,Away,Bayern Munich,RB Leipzig,0:3,CF,29',0:1,Header,David Alaba
DFB-Pokal ,Finale,5/25/19,Away,Bayern Munich,RB Leipzig,0:3,CF,85',0:3,Left-footed shot,Joshua Kimmich
DFB-Pokal ,1.Runde,8/12/19,Away,Bayern Munich,FC Energie Cottbus,1:3,CF,32',0:1,Tap-in,Kingsley Coman
Bundesliga ,1,8/16/19,Home,Bayern Munich,Hertha BSC,2:2,CF,24',1:0,Left-footed shot,Serge Gnabry
Bundesliga ,1,8/16/19,Home,Bayern Munich,Hertha BSC,2:2,CF,60',2:2,Penalty,Not Applicable
Bundesliga ,2,8/24/19,Away,Bayern Munich,FC Schalke 04,0:3,CF,20',0:1,Penalty,Not Applicable
Bundesliga ,2,8/24/19,Away,Bayern Munich,FC Schalke 04,0:3,CF,50',0:2,Direct free kick,Not Applicable
Bundesliga ,2,8/24/19,Away,Bayern Munich,FC Schalke 04,0:3,CF,75',0:3,Right-footed shot,Kingsley Coman
Bundesliga ,3,8/31/19,Home,Bayern Munich,1.FSV Mainz 05,6:1,CF,78',5:1,Right-footed shot,Thomas Müller
Bundesliga ,4,9/14/19,Away,Bayern Munich,RB Leipzig,1:1,CF,3',0:1,Right-footed shot,Thomas Müller
UEFA Champions League ,Gruppenphase,9/18/19,Home,Bayern Munich,Red Star Belgrade,3:0,CF,80',2:0,Right-footed shot,Not Applicable
Bundesliga ,5,9/21/19,Home,Bayern Munich,1.FC Köln,4:0,CF,3',1:0,Right-footed shot,Joshua Kimmich
Bundesliga ,5,9/21/19,Home,Bayern Munich,1.FC Köln,4:0,CF,48',2:0,Header,Joshua Kimmich
Bundesliga ,6,9/28/19,Away,Bayern Munich,SC Paderborn 07,2:3,CF,79',1:3,Right-footed shot,Niklas Süle
UEFA Champions League ,Gruppenphase,10/1/19,Away,Bayern Munich,Tottenham Hotspur,2:7,CF,45',1:2,Right-footed shot,Serge Gnabry
UEFA Champions League ,Gruppenphase,10/1/19,Away,Bayern Munich,Tottenham Hotspur,2:7,CF,87',2:6,Right-footed shot,Philippe Coutinho
Bundesliga ,7,10/5/19,Home,Bayern Munich,TSG 1899 Hoffenheim,1:2,CF,73',1:1,Header,Thomas Müller
Bundesliga ,8,10/19/19,Away,Bayern Munich,FC Augsburg,2:2,CF,14',1:1,Header,Serge Gnabry
UEFA Champions League ,Gruppenphase,10/22/19,Away,Bayern Munich,Olympiacos Piraeus,2:3,CF,34',1:1,Tap-in,Thomas Müller
UEFA Champions League ,Gruppenphase,10/22/19,Away,Bayern Munich,Olympiacos Piraeus,2:3,CF,62',1:2,Right-footed shot,Thomas Müller
Bundesliga ,9,10/26/19,Home,Bayern Munich,1.FC Union Berlin,2:1,CF,53',2:0,Right-footed shot,Not Applicable
Bundesliga ,10,11/2/19,Away,Bayern Munich,Eintracht Frankfurt,5:1,CF,37',2:1,Right-footed shot,Alphonso Davies
UEFA Champions League ,Gruppenphase,11/6/19,Home,Bayern Munich,Olympiacos Piraeus,2:0,CF,69',1:0,Right-footed shot,Kingsley Coman
Bundesliga ,11,11/9/19,Home,Bayern Munich,Borussia Dortmund,4:0,CF,17',1:0,Header,Benjamin Pavard
Bundesliga ,11,11/9/19,Home,Bayern Munich,Borussia Dortmund,4:0,CF,76',3:0,Right-footed shot,Thomas Müller
UEFA Champions League ,Gruppenphase,11/26/19,Away,Bayern Munich,Red Star Belgrade,0:6,CF,53',0:2,Penalty,Not Applicable
UEFA Champions League ,Gruppenphase,11/26/19,Away,Bayern Munich,Red Star Belgrade,0:6,CF,60',0:3,Tap-in,Corentin Tolisso
UEFA Champions League ,Gruppenphase,11/26/19,Away,Bayern Munich,Red Star Belgrade,0:6,CF,64',0:4,Header,Benjamin Pavard
UEFA Champions League ,Gruppenphase,11/26/19,Away,Bayern Munich,Red Star Belgrade,0:6,CF,67',0:5,Right-footed shot,Ivan Perisic
Bundesliga ,15,12/14/19,Home,Bayern Munich,SV Werder Bremen,6:1,CF,45'+4,2:1,Left-footed shot,Philippe Coutinho
Bundesliga ,15,12/14/19,Home,Bayern Munich,SV Werder Bremen,6:1,CF,72',4:1,Right-footed shot,Thomas Müller
Bundesliga ,16,12/18/19,Away,Bayern Munich,SC Freiburg,1:3,CF,16',0:1,Right-footed shot,Alphonso Davies
Bundesliga ,18,1/19/20,Away,Bayern Munich,Hertha BSC,0:4,CF,73',0:2,Penalty,Not Applicable
Bundesliga ,19,1/25/20,Home,Bayern Munich,FC Schalke 04,5:0,CF,6',1:0,Right-footed shot,Ivan Perisic
Bundesliga ,20,2/1/20,Away,Bayern Munich,1.FSV Mainz 05,1:3,CF,8',0:1,Header,Benjamin Pavard
DFB-Pokal ,Achtelfinale,2/5/20,Home,Bayern Munich,TSG 1899 Hoffenheim,4:3,CF,36',3:1,Header,Thomas Müller
DFB-Pokal ,Achtelfinale,2/5/20,Home,Bayern Munich,TSG 1899 Hoffenheim,4:3,CF,80',4:1,Header,Joshua Kimmich
Bundesliga ,22,2/16/20,Away,Bayern Munich,1.FC Köln,1:4,CF,3',0:1,Left-footed shot,Thomas Müller
Bundesliga ,23,2/21/20,Home,Bayern Munich,SC Paderborn 07,3:2,CF,70',2:1,Right-footed shot,Serge Gnabry
Bundesliga ,23,2/21/20,Home,Bayern Munich,SC Paderborn 07,3:2,CF,88',3:2,Right-footed shot,Serge Gnabry
UEFA Champions League ,Achtelfinale,2/25/20,Away,Bayern Munich,Chelsea FC,0:3,CF,76',0:3,Right-footed shot,Alphonso Davies
Bundesliga ,26,5/17/20,Away,Bayern Munich,1.FC Union Berlin,0:2,CF,40',0:1,Penalty,Not Applicable
Bundesliga ,27,5/23/20,Home,Bayern Munich,Eintracht Frankfurt,5:2,CF,46',3:0,Header,Kingsley Coman
Bundesliga ,29,5/30/20,Home,Bayern Munich,Fortuna Düsseldorf,5:0,CF,43',3:0,Right-footed shot,Thomas Müller
Bundesliga ,29,5/30/20,Home,Bayern Munich,Fortuna Düsseldorf,5:0,CF,50',4:0,Right-footed shot,Serge Gnabry
Bundesliga ,30,6/6/20,Away,Bayern Munich,Bayer 04 Leverkusen,2:4,CF,66',1:4,Header,Thomas Müller
DFB-Pokal ,Halbfinale,6/10/20,Home,Bayern Munich,Eintracht Frankfurt,2:1,CF,74',2:1,Left-footed shot,Joshua Kimmich
Bundesliga ,32,6/16/20,Away,Bayern Munich,SV Werder Bremen,0:1,CF,43',0:1,Right-footed shot,Jérôme Boateng
Bundesliga ,33,6/20/20,Home,Bayern Munich,SC Freiburg,3:1,CF,24',2:0,Header,Leon Goretzka
Bundesliga ,33,6/20/20,Home,Bayern Munich,SC Freiburg,3:1,CF,37',3:1,Right-footed shot,Lucas Hernández
Bundesliga ,34,6/27/20,Away,Bayern Munich,VfL Wolfsburg,0:4,CF,72',0:3,Penalty,Not Applicable
DFB-Pokal ,Finale,7/4/20,Away,Bayern Munich,Bayer 04 Leverkusen,2:4,CF,59',0:3,Right-footed shot,Manuel Neuer
DFB-Pokal ,Finale,7/4/20,Away,Bayern Munich,Bayer 04 Leverkusen,2:4,CF,89',1:4,Right-footed shot,Ivan Perisic
UEFA Champions League ,Achtelfinale,8/8/20,Home,Bayern Munich,Chelsea FC,4:1,CF,10',1:0,Penalty,Not Applicable
UEFA Champions League ,Achtelfinale,8/8/20,Home,Bayern Munich,Chelsea FC,4:1,CF,83',4:1,Header,Álvaro Odriozola
UEFA Champions League ,Viertelfinale,8/14/20,Away,Bayern Munich,FC Barcelona,2:8,CF,82',2:6,Header,Philippe Coutinho
UEFA Champions League ,Halbfinale,8/19/20,Away,Bayern Munich,Olympique Lyon,0:3,CF,88',0:3,Header,Joshua Kimmich
Bundesliga ,1,9/18/20,Home,Bayern Munich,FC Schalke 04,8:0,CF,31',3:0,Penalty,Not Applicable
Bundesliga ,3,10/4/20,Home,Bayern Munich,Hertha BSC,4:3,CF,40',1:0,Right-footed shot,Serge Gnabry
Bundesliga ,3,10/4/20,Home,Bayern Munich,Hertha BSC,4:3,CF,51',2:0,Right-footed shot,Chris Richards
Bundesliga ,3,10/4/20,Home,Bayern Munich,Hertha BSC,4:3,CF,85',3:2,Left-footed shot,Thomas Müller
Bundesliga ,3,10/4/20,Home,Bayern Munich,Hertha BSC,4:3,CF,90'+3,4:3,Penalty,Not Applicable
Bundesliga ,4,10/17/20,Away,Bayern Munich,Arminia Bielefeld,1:4,CF,25',0:2,Right-footed shot,Leon Goretzka
Bundesliga ,4,10/17/20,Away,Bayern Munich,Arminia Bielefeld,1:4,CF,45'+1,0:3,Right-footed shot,Thomas Müller
Bundesliga ,5,10/24/20,Home,Bayern Munich,Eintracht Frankfurt,5:0,CF,10',1:0,Left-footed shot,Kingsley Coman
Bundesliga ,5,10/24/20,Home,Bayern Munich,Eintracht Frankfurt,5:0,CF,26',2:0,Header,Joshua Kimmich
Bundesliga ,5,10/24/20,Home,Bayern Munich,Eintracht Frankfurt,5:0,CF,60',3:0,Right-footed shot,Douglas Costa
UEFA Champions League ,Gruppenphase,11/3/20,Away,Bayern Munich,Red Bull Salzburg,2:6,CF,21',1:1,Penalty,Not Applicable
UEFA Champions League ,Gruppenphase,11/3/20,Away,Bayern Munich,Red Bull Salzburg,2:6,CF,88',2:5,Header,Javi Martínez
Bundesliga ,7,11/7/20,Away,Bayern Munich,Borussia Dortmund,2:3,CF,48',1:2,Header,Lucas Hernández
UEFA Champions League ,Gruppenphase,11/25/20,Home,Bayern Munich,Red Bull Salzburg,3:1,CF,42',1:0,Left-footed shot,Not Applicable
Bundesliga ,9,11/28/20,Away,Bayern Munich,VfB Stuttgart,1:3,CF,45'+1,1:2,Right-footed shot,Kingsley Coman
Bundesliga ,11,12/12/20,Away,Bayern Munich,1.FC Union Berlin,1:1,CF,67',1:1,Right-footed shot,Kingsley Coman
Bundesliga ,12,12/16/20,Home,Bayern Munich,VfL Wolfsburg,2:1,CF,45'+1,1:1,Header,Kingsley Coman
Bundesliga ,12,12/16/20,Home,Bayern Munich,VfL Wolfsburg,2:1,CF,50',2:1,Right-footed shot,Jérôme Boateng
Bundesliga ,13,12/19/20,Away,Bayern Munich,Bayer 04 Leverkusen,1:2,CF,43',1:1,Header,Thomas Müller
Bundesliga ,13,12/19/20,Away,Bayern Munich,Bayer 04 Leverkusen,1:2,CF,90'+3,1:2,Deflected shot on goal,Joshua Kimmich
Bundesliga ,14,1/3/21,Home,Bayern Munich,1.FSV Mainz 05,5:2,CF,76',4:2,Penalty,Not Applicable
Bundesliga ,14,1/3/21,Home,Bayern Munich,1.FSV Mainz 05,5:2,CF,83',5:2,Right-footed shot,Thomas Müller
Bundesliga ,15,1/8/21,Away,Bayern Munich,Borussia Mönchengladbach,3:2,CF,20',0:1,Penalty,Not Applicable
Bundesliga ,16,1/17/21,Home,Bayern Munich,SC Freiburg,2:1,CF,7',1:0,Left-footed shot,Thomas Müller
Bundesliga ,17,1/20/21,Away,Bayern Munich,FC Augsburg,0:1,CF,13',0:1,Penalty,Not Applicable
Bundesliga ,18,1/24/21,Away,Bayern Munich,FC Schalke 04,0:4,CF,54',0:2,Right-footed shot,Joshua Kimmich
Bundesliga ,19,1/30/21,Home,Bayern Munich,TSG 1899 Hoffenheim,4:1,CF,57',3:1,Right-footed shot,Not Applicable
Club World Cup ,Halbfinale,2/8/21,Away,Bayern Munich,Al Ahly FC,0:2,CF,17',0:1,Right-footed shot,Serge Gnabry
Club World Cup ,Halbfinale,2/8/21,Away,Bayern Munich,Al Ahly FC,0:2,CF,85',0:2,Header,Leroy Sané
Bundesliga ,21,2/15/21,Home,Bayern Munich,Arminia Bielefeld,3:3,CF,48',1:2,Right-footed shot,David Alaba
Bundesliga ,22,2/20/21,Away,Bayern Munich,Eintracht Frankfurt,2:1,CF,53',2:1,Right-footed shot,Leroy Sané
UEFA Champions League ,Achtelfinale,2/23/21,Away,Bayern Munich,SS Lazio,1:4,CF,9',0:1,Left-footed shot,Not Applicable
