Tournament,Matchday,Date,Venue,Club,Opponent,Result,Position,Minute,When Scored,Goal Type,Assist
Bundesliga ,23,2/27/21,Home,Bayern Munich,1.FC Köln,5:1,CF,33',2:0,Right-footed shot,Leon Goretzka
Bundesliga ,23,2/27/21,Home,Bayern Munich,1.FC Köln,5:1,CF,65',3:1,Right-footed shot,Thomas Müller
Bundesliga ,24,3/6/21,Home,Bayern Munich,Borussia Dortmund,4:2,CF,26',1:2,Right-footed shot,Leroy Sané
Bundesliga ,24,3/6/21,Home,Bayern Munich,Borussia Dortmund,4:2,CF,44',2:2,Penalty,Not Applicable
Bundesliga ,24,3/6/21,Home,Bayern Munich,Borussia Dortmund,4:2,CF,90',4:2,Right-footed shot,Alphonso Davies
Bundesliga ,25,3/13/21,Away,Bayern Munich,SV Werder Bremen,1:3,CF,67',0:3,Right-footed shot,Not Applicable
UEFA Champions League ,Achtelfinale,3/17/21,Home,Bayern Munich,SS Lazio,2:1,CF,33',1:0,Penalty,Not Applicable
Bundesliga ,26,3/20/21,Home,Bayern Munich,VfB Stuttgart,4:0,CF,18',1:0,Right-footed shot,Serge Gnabry
Bundesliga ,26,3/20/21,Home,Bayern Munich,VfB Stuttgart,4:0,CF,23',3:0,Header,Thomas Müller
Bundesliga ,26,3/20/21,Home,Bayern Munich,VfB Stuttgart,4:0,CF,39',4:0,Left-footed shot,Not Applicable
Bundesliga ,31,4/24/21,Away,Bayern Munich,1.FSV Mainz 05,2:1,CF,90'+4,2:1,Right-footed shot,Not Applicable
Bundesliga ,32,5/8/21,Home,Bayern Munich,Borussia Mönchengladbach,6:0,CF,2',1:0,Right-footed shot,David Alaba
Bundesliga ,32,5/8/21,Home,Bayern Munich,Borussia Mönchengladbach,6:0,CF,34',3:0,Right-footed shot,Thomas Müller
Bundesliga ,32,5/8/21,Home,Bayern Munich,Borussia Mönchengladbach,6:0,CF,66',5:0,Penalty,Not Applicable
Bundesliga ,33,5/15/21,Away,Bayern Munich,SC Freiburg,2:2,CF,26',0:1,Penalty,Not Applicable
Bundesliga ,34,5/22/21,Home,Bayern Munich,FC Augsburg,5:2,CF,90',5:2,Right-footed shot,Leroy Sané
Bundesliga ,1,8/13/21,Away,Bayern Munich,Borussia Mönchengladbach,1:1,CF,42',1:1,Right-footed shot,Joshua Kimmich
DFL-Supercup ,Finale,8/17/21,Away,Bayern Munich,Borussia Dortmund,1:3,CF,41',0:1,Header,Serge Gnabry
DFL-Supercup ,Finale,8/17/21,Away,Bayern Munich,Borussia Dortmund,1:3,CF,74',1:3,Right-footed shot,Corentin Tolisso
Bundesliga ,2,8/22/21,Home,Bayern Munich,1.FC Köln,3:2,CF,50',1:0,Right-footed shot,Jamal Musiala
Bundesliga ,3,8/28/21,Home,Bayern Munich,Hertha BSC,5:0,CF,35',2:0,Header,Not Applicable
Bundesliga ,3,8/28/21,Home,Bayern Munich,Hertha BSC,5:0,CF,70',4:0,Left-footed shot,Leroy Sané
Bundesliga ,3,8/28/21,Home,Bayern Munich,Hertha BSC,5:0,CF,84',5:0,Header,Tanguy Nianzou
Bundesliga ,4,9/11/21,Away,Bayern Munich,RB Leipzig,1:4,CF,12',0:1,Penalty,Not Applicable
UEFA Champions League ,Gruppenphase,9/14/21,Away,Bayern Munich,FC Barcelona,0:3,CF,56',0:2,Left-footed shot,Not Applicable
UEFA Champions League ,Gruppenphase,9/14/21,Away,Bayern Munich,FC Barcelona,0:3,CF,85',0:3,Left-footed shot,Not Applicable
Bundesliga ,5,9/18/21,Home,Bayern Munich,VfL Bochum,7:0,CF,61',5:0,Right-footed shot,Not Applicable
UEFA Champions League ,Gruppenphase,9/29/21,Home,Bayern Munich,Dynamo Kyiv,5:0,CF,12',1:0,Penalty,Not Applicable
UEFA Champions League ,Gruppenphase,9/29/21,Home,Bayern Munich,Dynamo Kyiv,5:0,CF,27',2:0,Right-footed shot,Thomas Müller
Bundesliga ,8,10/17/21,Away,Bayern Munich,Bayer 04 Leverkusen,1:5,CF,3',0:1,Right-footed shot,Dayot Upamecano
Bundesliga ,8,10/17/21,Away,Bayern Munich,Bayer 04 Leverkusen,1:5,CF,30',0:2,Right-footed shot,Alphonso Davies
UEFA Champions League ,Gruppenphase,10/20/21,Away,Bayern Munich,SL Benfica,0:4,CF,82',0:3,Left-footed shot,Leroy Sané
Bundesliga ,9,10/23/21,Home,Bayern Munich,TSG 1899 Hoffenheim,4:0,CF,30',2:0,Right-footed shot,Thomas Müller
Bundesliga ,10,10/30/21,Away,Bayern Munich,1.FC Union Berlin,2:5,CF,15',0:1,Penalty,Not Applicable
Bundesliga ,10,10/30/21,Away,Bayern Munich,1.FC Union Berlin,2:5,CF,23',0:2,Right-footed shot,Thomas Müller
UEFA Champions League ,Gruppenphase,11/2/21,Home,Bayern Munich,SL Benfica,5:2,CF,26',1:0,Header,Kingsley Coman
UEFA Champions League ,Gruppenphase,11/2/21,Home,Bayern Munich,SL Benfica,5:2,CF,61',4:1,Right-footed shot,Leroy Sané
UEFA Champions League ,Gruppenphase,11/2/21,Home,Bayern Munich,SL Benfica,5:2,CF,84',5:2,Right-footed shot,Manuel Neuer
Bundesliga ,11,11/6/21,Home,Bayern Munich,SC Freiburg,2:1,CF,75',2:0,Right-footed shot,Leroy Sané
Bundesliga ,12,11/19/21,Away,Bayern Munich,FC Augsburg,2:1,CF,38',2:1,Right-footed shot,Thomas Müller
UEFA Champions League ,Gruppenphase,11/23/21,Away,Bayern Munich,Dynamo Kyiv,1:2,CF,14',0:1,Right-footed shot,Not Applicable
Bundesliga ,14,12/4/21,Away,Bayern Munich,Borussia Dortmund,2:3,CF,9',1:1,Right-footed shot,Thomas Müller
Bundesliga ,14,12/4/21,Away,Bayern Munich,Borussia Dortmund,2:3,CF,77',2:3,Penalty,Not Applicable
Bundesliga ,16,12/14/21,Away,Bayern Munich,VfB Stuttgart,0:5,CF,69',0:3,Right-footed shot,Serge Gnabry
Bundesliga ,16,12/14/21,Away,Bayern Munich,VfB Stuttgart,0:5,CF,72',0:4,Right-footed shot,Serge Gnabry
Bundesliga ,17,12/17/21,Home,Bayern Munich,VfL Wolfsburg,4:0,CF,87',4:0,Left-footed shot,Jamal Musiala
Bundesliga ,18,1/7/22,Home,Bayern Munich,Borussia Mönchengladbach,1:2,CF,18',1:0,Right-footed shot,Thomas Müller
Bundesliga ,19,1/15/22,Away,Bayern Munich,1.FC Köln,0:4,CF,9',0:1,Counter attack goal,Thomas Müller
Bundesliga ,19,1/15/22,Away,Bayern Munich,1.FC Köln,0:4,CF,62',0:3,Left-footed shot,Leroy Sané
Bundesliga ,19,1/15/22,Away,Bayern Munich,1.FC Köln,0:4,CF,74',0:4,Left-footed shot,Leroy Sané
Bundesliga ,21,2/5/22,Home,Bayern Munich,RB Leipzig,3:2,CF,44',2:1,Header,Kingsley Coman
Bundesliga ,22,2/12/22,Away,Bayern Munich,VfL Bochum,4:2,CF,9',0:1,Right-footed shot,Kingsley Coman
Bundesliga ,22,2/12/22,Away,Bayern Munich,VfL Bochum,4:2,CF,75',4:2,Right-footed shot,Not Applicable
Bundesliga ,23,2/20/22,Home,Bayern Munich,SpVgg Greuther Fürth,4:1,CF,46',1:1,Left-footed shot,Eric-Maxim Choupo-Moting
Bundesliga ,23,2/20/22,Home,Bayern Munich,SpVgg Greuther Fürth,4:1,CF,82',3:1,Header,Niklas Süle
UEFA Champions League ,Achtelfinale,3/8/22,Home,Bayern Munich,Red Bull Salzburg,7:1,CF,12',1:0,Penalty,Not Applicable
UEFA Champions League ,Achtelfinale,3/8/22,Home,Bayern Munich,Red Bull Salzburg,7:1,CF,21',2:0,Penalty,Not Applicable
UEFA Champions League ,Achtelfinale,3/8/22,Home,Bayern Munich,Red Bull Salzburg,7:1,CF,23',3:0,Right-footed shot,Not Applicable
Bundesliga ,26,3/12/22,Away,Bayern Munich,TSG 1899 Hoffenheim,1:1,CF,45'+3,1:1,Header,Joshua Kimmich
Bundesliga ,27,3/19/22,Home,Bayern Munich,1.FC Union Berlin,4:0,CF,45'+1,3:0,Penalty,Not Applicable
Bundesliga ,27,3/19/22,Home,Bayern Munich,1.FC Union Berlin,4:0,CF,47',4:0,Left-footed shot,Jamal Musiala
Bundesliga ,29,4/9/22,Home,Bayern Munich,FC Augsburg,1:0,CF,82',1:0,Penalty,Not Applicable
UEFA Champions League ,Viertelfinale,4/12/22,Home,Bayern Munich,Villarreal CF,1:1,CF,52',1:0,Right-footed shot,Thomas Müller
Bundesliga ,31,4/23/22,Home,Bayern Munich,Borussia Dortmund,3:1,CF,34',2:0,Left-footed shot,Thomas Müller
Bundesliga ,32,4/30/22,Away,Bayern Munich,1.FSV Mainz 05,3:1,CF,33',2:1,Left-footed shot,Eric-Maxim Choupo-Moting
Bundesliga ,34,5/14/22,Away,Bayern Munich,VfL Wolfsburg,2:2,CF,40',0:2,Header,Thomas Müller
LaLiga ,2,8/21/22,Away,FC Barcelona,Real Sociedad,1:4,CF,1',0:1,Counter attack goal,Alejandro Balde
LaLiga ,2,8/21/22,Away,FC Barcelona,Real Sociedad,1:4,CF,68',1:3,Right-footed shot,Ansu Fati
LaLiga ,3,8/28/22,Home,FC Barcelona,Real Valladolid CF,4:0,CF,24',1:0,Left-footed shot,Raphinha
LaLiga ,3,8/28/22,Home,FC Barcelona,Real Valladolid CF,4:0,CF,64',3:0,Not reported,Ousmane Dembélé
LaLiga ,4,9/3/22,Away,FC Barcelona,Sevilla FC,0:3,CF,36',0:2,Right-footed shot,Jules Koundé
UEFA Champions League ,Gruppenphase,9/7/22,Home,FC Barcelona,FC Viktoria Plzen,5:1,CF,34',2:0,Right-footed shot,Sergi Roberto
UEFA Champions League ,Gruppenphase,9/7/22,Home,FC Barcelona,FC Viktoria Plzen,5:1,CF,45'+3,3:1,Header,Ousmane Dembélé
UEFA Champions League ,Gruppenphase,9/7/22,Home,FC Barcelona,FC Viktoria Plzen,5:1,CF,67',4:1,Right-footed shot,Ferran Torres
LaLiga ,5,9/10/22,Away,FC Barcelona,Cádiz CF,0:4,CF,65',0:2,Tap-in,Not Applicable
LaLiga ,6,9/17/22,Home,FC Barcelona,Elche CF,3:0,CF,34',1:0,Not reported,Alejandro Balde
LaLiga ,6,9/17/22,Home,FC Barcelona,Elche CF,3:0,CF,48',3:0,Not reported,Not Applicable
LaLiga ,7,10/1/22,Away,FC Barcelona,RCD Mallorca,0:1,CF,20',0:1,Right-footed shot,Ansu Fati
UEFA Champions League ,Gruppenphase,10/12/22,Home,FC Barcelona,Inter Milan,3:3,CF,82',2:2,Left-footed shot,Not Applicable
UEFA Champions League ,Gruppenphase,10/12/22,Home,FC Barcelona,Inter Milan,3:3,CF,90'+2,3:3,Header,Eric García
LaLiga ,10,10/20/22,Home,FC Barcelona,Villarreal CF,3:0,CF,31',1:0,Right-footed shot,Jordi Alba
LaLiga ,10,10/20/22,Home,FC Barcelona,Villarreal CF,3:0,CF,35',2:0,Counter attack goal,Gavi
LaLiga ,11,10/23/22,Home,FC Barcelona,Athletic Bilbao,4:0,CF,22',3:0,Left-footed shot,Ousmane Dembélé
LaLiga ,12,10/29/22,Away,FC Barcelona,Valencia CF,0:1,CF,90'+3,0:1,Right-footed shot,Raphinha
Supercopa ,Halbfinale,1/12/23,Away,FC Barcelona,Real Betis Balompié,4:6,CF,40',0:1,Right-footed shot,Not Applicable
Supercopa ,Finale,1/15/23,Away,FC Barcelona,Real Madrid,1:3,CF,45',0:2,Right-footed shot,Gavi
Copa del Rey ,Achtelfinale,1/19/23,Away,FC Barcelona,AD Ceuta FC,0:5,CF,50',0:2,Right-footed shot,Franck Kessié
Copa del Rey ,Achtelfinale,1/19/23,Away,FC Barcelona,AD Ceuta FC,0:5,CF,90',0:5,Right-footed shot,Eric García
LaLiga ,17,2/1/23,Away,FC Barcelona,Real Betis Balompié,1:2,CF,80',0:2,Right-footed shot,Ronald Araujo
LaLiga ,22,2/19/23,Home,FC Barcelona,Cádiz CF,2:0,CF,45'+1,2:0,Right-footed shot,Sergi Roberto
Europa League ,Zwischenrunde,2/23/23,Away,FC Barcelona,Manchester United,2:1,CF,18',0:1,Penalty,Not Applicable
LaLiga ,27,4/1/23,Away,FC Barcelona,Elche CF,0:4,CF,20',0:1,Right-footed shot,Ronald Araujo
LaLiga ,27,4/1/23,Away,FC Barcelona,Elche CF,0:4,CF,66',0:3,Right-footed shot,Gavi
LaLiga ,31,4/26/23,Away,FC Barcelona,Rayo Vallecano,2:1,CF,83',2:1,Left-footed shot,Not Applicable
LaLiga ,32,4/29/23,Home,FC Barcelona,Real Betis Balompié,4:0,CF,36',2:0,Not reported,Jules Koundé
LaLiga ,34,5/14/23,Away,FC Barcelona,RCD Espanyol Barcelona,2:4,CF,11',0:1,Left-footed shot,Alejandro Balde
LaLiga ,34,5/14/23,Away,FC Barcelona,RCD Espanyol Barcelona,2:4,CF,40',0:3,Left-footed shot,Raphinha
LaLiga ,35,5/20/23,Home,FC Barcelona,Real Sociedad,1:2,CF,90',1:2,Header,Ferran Torres
LaLiga ,36,5/23/23,Away,FC Barcelona,Real Valladolid CF,3:1,CF,84',3:1,Left-footed shot,Frenkie de Jong
LaLiga ,3,8/27/23,Away,FC Barcelona,Villarreal CF,3:4,CF,71',3:4,Left-footed shot,Not Applicable
LaLiga ,4,9/3/23,Away,FC Barcelona,CA Osasuna,1:2,CF,85',1:2,Penalty,Not Applicable
LaLiga ,5,9/16/23,Home,FC Barcelona,Real Betis Balompié,5:0,CF,32',2:0,Right-footed shot,Andreas Christensen
UEFA Champions League ,Gruppenphase,9/19/23,Home,FC Barcelona,Royal Antwerp FC,5:0,CF,19',2:0,Right-footed shot,João Félix
LaLiga ,6,9/23/23,Home,FC Barcelona,Celta de Vigo,3:2,CF,81',1:2,Right-footed shot,João Félix
LaLiga ,6,9/23/23,Home,FC Barcelona,Celta de Vigo,3:2,CF,85',2:2,Right-footed shot,João Cancelo
LaLiga ,13,11/12/23,Home,FC Barcelona,Deportivo Alavés,2:1,CF,53',1:1,Header,Jules Koundé
LaLiga ,13,11/12/23,Home,FC Barcelona,Deportivo Alavés,2:1,CF,78',2:1,Penalty,Not Applicable
LaLiga ,16,12/10/23,Home,FC Barcelona,Girona FC,2:4,CF,19',1:1,Header,Raphinha
Copa del Rey ,3.Runde,1/7/24,Away,FC Barcelona,UD Barbastro,2:3,CF,88',1:3,Penalty,Not Applicable
Supercopa ,Halbfinale,1/11/24,Home,FC Barcelona,CA Osasuna,2:0,CF,59',1:0,Right-footed shot,İlkay Gündoğan
Supercopa ,Finale,1/14/24,Away,FC Barcelona,Real Madrid,4:1,CF,33',2:1,Right-footed shot,Not Applicable
Copa del Rey ,Viertelfinale,1/24/24,Away,FC Barcelona,Athletic Bilbao,4:2,CF,26',1:1,Left-footed shot,Not Applicable
LaLiga ,23,2/3/24,Away,FC Barcelona,Deportivo Alavés,1:3,CF,22',0:1,Right-footed shot,İlkay Gündoğan
LaLiga ,24,2/11/24,Home,FC Barcelona,Granada CF,3:3,CF,63',2:2,Right-footed shot,İlkay Gündoğan
LaLiga ,25,2/17/24,Away,FC Barcelona,Celta de Vigo,1:2,CF,45',0:1,Right-footed shot,Lamine Yamal
LaLiga ,25,2/17/24,Away,FC Barcelona,Celta de Vigo,1:2,CF,90'+7,1:2,Penalty,Not Applicable
UEFA Champions League ,Achtelfinale,2/21/24,Away,FC Barcelona,SSC Napoli,1:1,CF,60',0:1,Right-footed shot,Pedri
UEFA Champions League ,Achtelfinale,3/12/24,Home,FC Barcelona,SSC Napoli,3:1,CF,83',3:1,Left-footed shot,Sergi Roberto
LaLiga ,29,3/17/24,Away,FC Barcelona,Atlético de Madrid,0:3,CF,47',0:2,Right-footed shot,Raphinha
LaLiga ,33,4/29/24,Home,FC Barcelona,Valencia CF,4:2,CF,49',2:2,Header,İlkay Gündoğan
LaLiga ,33,4/29/24,Home,FC Barcelona,Valencia CF,4:2,CF,82',3:2,Header,Ronald Araujo
LaLiga ,33,4/29/24,Home,FC Barcelona,Valencia CF,4:2,CF,90'+3,4:2,Direct free kick,Not Applicable
LaLiga ,34,5/4/24,Away,FC Barcelona,Girona FC,4:2,CF,45'+1,1:2,Penalty,Not Applicable
LaLiga ,37,5/19/24,Home,FC Barcelona,Rayo Vallecano,3:0,CF,3',1:0,Right-footed shot,Lamine Yamal
LaLiga ,38,5/26/24,Away,FC Barcelona,Sevilla FC,1:2,CF,15',0:1,Right-footed shot,João Cancelo
LaLiga ,1,8/17/24,Away,FC Barcelona,Valencia CF,1:2,CF,45'+5,1:1,Tap-in,Lamine Yamal
LaLiga ,1,8/17/24,Away,FC Barcelona,Valencia CF,1:2,CF,49',1:2,Penalty,Not Applicable
LaLiga ,2,8/24/24,Home,FC Barcelona,Athletic Bilbao,2:1,CF,75',2:1,Left-footed shot,Not Applicable
LaLiga ,4,8/31/24,Home,FC Barcelona,Real Valladolid CF,7:0,CF,24',2:0,Left-footed shot,Lamine Yamal
LaLiga ,6,9/22/24,Away,FC Barcelona,Villarreal CF,1:5,CF,20',0:1,Right-footed shot,Pablo Torre
LaLiga ,6,9/22/24,Away,FC Barcelona,Villarreal CF,1:5,CF,35',0:2,Right-footed shot,Not Applicable
LaLiga ,7,9/25/24,Home,FC Barcelona,Getafe CF,1:0,CF,19',1:0,Right-footed shot,Not Applicable
UEFA Champions League ,Gruppenphase,10/1/24,Home,FC Barcelona,BSC Young Boys,5:0,CF,8',1:0,Left-footed shot,Raphinha
UEFA Champions League ,Gruppenphase,10/1/24,Home,FC Barcelona,BSC Young Boys,5:0,CF,51',4:0,Header,Iñigo Martínez
LaLiga ,9,10/6/24,Away,FC Barcelona,Deportivo Alavés,0:3,CF,7',0:1,Header,Raphinha
LaLiga ,9,10/6/24,Away,FC Barcelona,Deportivo Alavés,0:3,CF,22',0:2,Counter attack goal,Raphinha
LaLiga ,9,10/6/24,Away,FC Barcelona,Deportivo Alavés,0:3,CF,32',0:3,Right-footed shot,Eric García
LaLiga ,10,10/20/24,Home,FC Barcelona,Sevilla FC,5:1,CF,24',1:0,Penalty,Not Applicable
LaLiga ,10,10/20/24,Home,FC Barcelona,Sevilla FC,5:1,CF,39',3:0,Right-footed shot,Raphinha
UEFA Champions League ,Gruppenphase,10/23/24,Home,FC Barcelona,Bayern Munich,4:1,CF,36',2:1,Right-footed shot,Fermín López
LaLiga ,11,10/26/24,Away,FC Barcelona,Real Madrid,0:4,CF,54',0:1,Right-footed shot,Marc Casadó
LaLiga ,11,10/26/24,Away,FC Barcelona,Real Madrid,0:4,CF,56',0:2,Header,Alejandro Balde
UEFA Champions League ,Gruppenphase,11/6/24,Away,FC Barcelona,Red Star Belgrade,2:5,CF,43',1:2,Left-footed shot,Not Applicable
UEFA Champions League ,Gruppenphase,11/6/24,Away,FC Barcelona,Red Star Belgrade,2:5,CF,53',1:3,Right-footed shot,Jules Koundé
LaLiga ,14,11/23/24,Away,FC Barcelona,Celta de Vigo,2:2,CF,61',0:2,Counter attack goal,Not Applicable
UEFA Champions League ,Gruppenphase,11/26/24,Home,FC Barcelona,Stade Brestois 29,3:0,CF,10',1:0,Penalty,Not Applicable
UEFA Champions League ,Gruppenphase,11/26/24,Home,FC Barcelona,Stade Brestois 29,3:0,CF,90'+2,3:0,Right-footed shot,Alejandro Balde
LaLiga ,16,12/7/24,Away,FC Barcelona,Real Betis Balompié,2:2,CF,39',0:1,Left-footed shot,Jules Koundé
Copa del Rey ,3.Runde,1/4/25,Away,FC Barcelona,UD Barbastro,0:4,CF,31',0:2,Header,Pablo Torre
Copa del Rey ,3.Runde,1/4/25,Away,FC Barcelona,UD Barbastro,0:4,CF,47',0:3,Right-footed shot,Pablo Torre
Supercopa ,Finale,1/12/25,Away,FC Barcelona,Real Madrid,2:5,CF,36',1:2,Penalty,Not Applicable
UEFA Champions League ,Gruppenphase,1/21/25,Away,FC Barcelona,SL Benfica,4:5,CF,13',1:1,Penalty,Not Applicable
UEFA Champions League ,Gruppenphase,1/21/25,Away,FC Barcelona,SL Benfica,4:5,CF,78',4:3,Penalty,Not Applicable
LaLiga ,21,1/26/25,Home,FC Barcelona,Valencia CF,7:1,CF,66',6:1,Right-footed shot,Fermín López
LaLiga ,22,2/2/25,Home,FC Barcelona,Deportivo Alavés,1:0,CF,61',1:0,Left-footed shot,Lamine Yamal
LaLiga ,23,2/9/25,Away,FC Barcelona,Sevilla FC,1:4,CF,7',0:1,Left-footed shot,Iñigo Martínez
LaLiga ,24,2/17/25,Home,FC Barcelona,Rayo Vallecano,1:0,CF,28',1:0,Penalty,Not Applicable
